id,oldid,vcfid,Amito,loc
10062021-7408,38-HB,38-HB,1,FL
10142021-8478,10142021-8478,10142021-8478,0,FL
10212021-4274,36-HB,36-HB,0,FL
10272021-6961,172292D,10272021-6961,1,FL
11152021-2556,172290D,11152021-2556,1,FL
C2021-06-001,C2021-6-1,C2021-6-1,1,FL
C2021-06-004,C2021-6-4,C2021-6-4,1,FL
C2021-06-013,C2021-6-13,C2021-6-13,1,FL
C2021-06-016,C2021-6-16,C2021-6-16,1,FL
C2021-06-017,C2021-6-17,C2021-6-17,1,FL
C2021-06-028,C2021-6-28,C2021-6-28,1,FL
M0024-01-02092022-01057,1-HB,1-HB,0,FL
M0031-01-02162022-01249,172257D,M0031-01-02162022-01249,0,FL
M0033-01-02172022-01335,172260D,M0033-01-02172022-01335,1,FL
M0038-01-02212022-01432,4-HB,4-HB,1,FL
M0040-01-02222022-01457,172262D,M0040-01-02222022-01457,0,FL
M0045-01-02282022-01616,172261D,M0045-01-02282022-01616,0,FL
M0057-01-03072022-01844,7-HB,7-HB,0,FL
M0070-01-03092022-01932,8-HB,8-HB,1,FL
M0073-01-03092022-01953,9-HB,9-HB,0,FL
M0077-01-03092022-01966,172265D,M0077-01-03092022-01966,1,FL
M0088-01-03142022-02076,172268D,M0088-01-03142022-02076,1,FL
M0100-01-03172022-02239,12-HB,12-HB,0,FL
M0101-01-03172022-02242,172270D,M0101-01-03172022-02242,0,FL
M0104-01-03182022-02288,172269D,M0104-01-03182022-02288,1,FL
M0118-01-03292022-02585,15-HB,15-HB,1,FL
M0119-01-03292022-02586,16-HB,16-HB,0,FL
M0130-01-04052022-02797,17-HB,17-HB,0,FL
M0142-01-04142022-03225,M0142-1-4142022-3225,M0142-1-4142022-3225,0,FL
M0146-01-04202022-03409,19-HB,19-HB,0,FL
M0147-01-04202022-03418,20-HB,20-HB,1,FL
M0159-01-04262022-03706,172275D,M0159-01-04262022-03706,1,FL
M0160-01-04272022-03758,22-HB,22-HB,1,FL
M0171-02-05112022-04203,172280D,M0171-02-05112022-04203,0,FL
M0172-01-05112022-04207,23-HB,23-HB,1,FL
M0180-01-05192022-04492,25-HB,25-HB,1,FL
M0180-02-05192022-04492,172282D,M0180-02-05192022-04492,0,FL
M0181-01-05192022-04493,172281D,M0181-01-05192022-04493,1,FL
M0181-02-05192022-04493,28-HB,28-HB,0,FL
M0186-01-05262022-04793,29-HB,29-HB,0,FL
M0197-01-06072022-05145,30-HB,30-HB,0,FL
M0211-01-06212022-05685,172285D,M0211-01-06212022-05685,1,FL
M0222-01-06282022-05919,32-HB,32-HB,0,FL
M0223-01-06292022-05993,172287D,M0223-01-06292022-05993,0,FL
M0230-01-07062022-06162,M0230-1-7062022-6162,M0230-1-7062022-6162,0,FL
MAN-035-04-06-21,MAN-35-4-6-21,MAN-35-4-6-21,1,FL
MAN-048-06-16-21,41-HB,41-HB,1,FL
MAN-049-06-15-21,42-HB,42-HB,0,FL
MAN-055-07-08-21,43-HB,43-HB,0,FL
MAN-058-07-09-21,172295D,MAN-058-07-09-21,0,FL
Z3,Z3,Z3,0,AZ
Z1-SK,Z1-SK,Z1-SK,1,AZ
Z6,Z6,Z6,1,AZ
Z12,Z12,Z12,1,AZ
Z11,Z11,Z11,1,AZ
Z7,Z7,Z7,1,AZ
Z14,Z14,Z14,1,AZ
F2-SK,F2-SK,F2-SK,0,AZ
P1,P1,P1,0,AZ
