id,id2,oldid,vcfid,A,state,gencoveid,projid
Z18,Z18,Z18,Z18,0.098447,AZ,f89c071d-e660-4f90-bc9a-abc49ec08764,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
SM4,SM4,SM4,SM4,0.399534,AZ,007a4b0c-a33e-4380-b9e1-a9dae86ca1fd,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
M2,M2,M2,M2,0.465819,AZ,42c4d237-0206-4765-96ee-a3f93a427ae4,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
J5,J5,J5,J5,0.475793,AZ,859f0772-f218-420f-bfca-b833658814c0,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
D7-S,D7,D7-S,D7-S,0.601396,AZ,aebcb457-028d-4c6d-aa8c-8f5b1e6990a4,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
E4OG,E4OG,E4OG,E4OG,0.609633,AZ,fe1e6201-1943-42e3-a8ef-be25f95ed91e,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
L6,L6,L6,L6,0.63125,AZ,2d37c9ec-8310-483e-8b93-131dcb81a971,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
z-G10,z-G10,G10,G10,0.632188,AZ,0ab487c0-1fc8-4dae-868a-00d071a5a0e7,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
A6,A6,A6,A6,0.633181,AZ,baa02067-ca8a-4335-ac3f-af35712e13f6,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
A8,A8,A8,A8,0.642885,AZ,55a59459-aab0-4b39-9e8d-a55775aae290,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
F2,F2,F2,F2,0.643824,AZ,160d9d31-d1da-4c29-ba2e-5527addb8303,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
L5,L5,L5,L5,0.644009,AZ,4608f24d-3206-4587-b072-19dc8344dfe2,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
SM5,SM5,SM5,SM5,0.645473,AZ,0ddee6e3-1f0a-4687-9960-ae7e4a72ebc5,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
J7,J7,J7,J7,0.646532,AZ,f18f5c84-5628-463c-ae67-b3d05bb40559,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
A21,A21,A21,A21,0.652433,AZ,ed41738a-363e-4b15-95fe-cd37b61cf822,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
SM3,SM3,SM3,SM3,0.65611,AZ,5e71cf63-b37b-490a-8c97-0f0f55f12e7c,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
H3,H3,H3,H3,0.656966,AZ,7ffb0620-df19-4475-a22c-3ee1f730d569,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
A28,A28,A28,A28,0.659325,AZ,c78d1fa6-8c67-44e7-b0fd-d4ab4b25e898,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
D7,D7,D7,D7,0.660768,AZ,d8db7543-9208-4656-8867-22d7d8960220,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
A22,A22,A22,A22,0.668668,AZ,3d73f8a4-5031-4bdf-bb72-b0c599b470f5,16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
