vcfid,oldid,id,id2,state,A,AmitoBin
00502Q,00502Q,00502Q,00502Q,IN,0.074739,0
00502Q-1A-A-1,00502Q-1A-A-1,00502Q-1A-A-1,00502Q-1A-A,PA,0.147192,0
00502Q-1C-NA-3,00502Q-1C-NA-3,00502Q-1C-NA-3,00502Q-1C-NA,PA,0.18155,0
38-HB,38-HB,10062021-7408,10062021-7408,FL,0.328792,NA
10142021-8478,10142021-8478,10142021-8478,10142021-8478,FL,0.242701,0
36-HB,36-HB,10212021-4274,10212021-4274,FL,0.26411,0
10272021-6961,172292D,10272021-6961,10272021-6961,FL,0.361571,1
11152021-2556,172290D,11152021-2556,11152021-2556,FL,0.328946,1
173530D,173530D,11_2020Q10_1,11_2020Q10,IN,0.004096,0
173477D,173477D,14_2020Q13_3,14_2020Q13,IN,0.004304,0
173486D,173486D,20_2020Q19_1,20_2020Q19,IN,1e-05,0
301-2016,301-2016,301-2016,301,TX,0.631001,1
173498D,173498D,34_2020Q33_5,34_2020Q33,IN,0.00705,0
357-2016,357-2016,357-2016,357,TX,0.573373,1
362-2021,362-2021,362-2021,362,TX,0.613175,1
366-2016,366-2016,366-2016,366,TX,0.636523,0
370-2016,370-2016,370-2016,370,TX,0.572072,1
379-2021,379-2021,379-2021,379,TX,0.610384,1
381-2016,381-2016,381-2016,381,TX,0.564386,0
383-2016,383-2016,383-2016,383,TX,0.565902,1
384-2022,384-2022,384-2022,384,TX,0.63846,1
385-2016,385-2016,385-2016,385,TX,0.556273,1
393-2016,393-2016,393-2016,393,TX,0.629443,1
394-2022,394-2022,394-2022,394,TX,0.576374,1
396-2016,396-2016,396-2016,396,TX,0.645278,1
403-2016,403-2016,403-2016,403,TX,0.52153,0
404-2022,404-2022,404-2022,404,TX,0.576171,1
407-2016,407-2016,407-2016,407,TX,0.624805,1
425-2022,425-2022,425-2022,425,TX,0.571226,1
427-2021,427-2021,427-2021,427,TX,0.646422,1
428-2016,428-2016,428-2016,428,TX,0.613842,1
435-2022,435-2022,435-2022,435,TX,0.584682,1
173430D,173430D,49_2021Q115_3,49_2021Q115,IN,1e-05,0
501-2016,501-2016,501-2016,501,TX,0.632657,1
517-2022,517-2022,517-2022,517,TX,0.636017,1
60-2016,60-2016,60-2016,60,TX,0.525337,1
173470D,173470D,63_2021Q61_5,63_2021Q61,IN,1e-05,0
173480D,173480D,6_2020Q5_1,6_2020Q5,IN,1e-05,0
703-2016,703-2016,703-2016,703,TX,0.535282,1
704-2021,704-2021,704-2021,704,TX,0.606304,1
721-2022,721-2022,721-2022,721,TX,0.582103,1
83-2016,83-2016,83-2016,83,TX,0.654658,1
173496D,173496D,8_2020Q7_2,8_2020Q7,IN,1e-05,0
95-2022,95-2022,95-2022,95,TX,0.580526,1
A1,A1,A1,A1,AZ,0.692056,1
A12,A12,A12,A12,AZ,0.721921,1
A21,A21,A21,A21,AZ,0.652433,1
A21b,A21b,A21b,A21b,AZ,0.707159,1
A22,A22,A22,A22,AZ,0.668668,1
A26,A26,A26,A26,AZ,0.680236,1
A28,A28,A28,A28,AZ,0.659325,1
A3,A3,A3,A3,AZ,0.729425,0
A6,A6,A6,A6,AZ,0.633181,0
A8,A8,A8,A8,AZ,0.642885,1
AIR1-NA-2,AIR1-NA-2,AIR1-NA-2,AIR1-NA,PA,0.043572,0
AIR2-A-2,AIR2-A-2,AIR2-A-2,AIR2-A,PA,0.290233,0
