gencoveid	NA
f89c071d-e660-4f90-bc9a-abc49ec08764	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
007a4b0c-a33e-4380-b9e1-a9dae86ca1fd	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
42c4d237-0206-4765-96ee-a3f93a427ae4	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
859f0772-f218-420f-bfca-b833658814c0	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
aebcb457-028d-4c6d-aa8c-8f5b1e6990a4	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
fe1e6201-1943-42e3-a8ef-be25f95ed91e	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
2d37c9ec-8310-483e-8b93-131dcb81a971	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
0ab487c0-1fc8-4dae-868a-00d071a5a0e7	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
baa02067-ca8a-4335-ac3f-af35712e13f6	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
55a59459-aab0-4b39-9e8d-a55775aae290	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
160d9d31-d1da-4c29-ba2e-5527addb8303	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
4608f24d-3206-4587-b072-19dc8344dfe2	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
0ddee6e3-1f0a-4687-9960-ae7e4a72ebc5	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
f18f5c84-5628-463c-ae67-b3d05bb40559	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
ed41738a-363e-4b15-95fe-cd37b61cf822	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
5e71cf63-b37b-490a-8c97-0f0f55f12e7c	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
7ffb0620-df19-4475-a22c-3ee1f730d569	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
c78d1fa6-8c67-44e7-b0fd-d4ab4b25e898	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
d8db7543-9208-4656-8867-22d7d8960220	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
3d73f8a4-5031-4bdf-bb72-b0c599b470f5	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
6e67eb44-231b-47ca-8d5b-3c228e2aff33	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
e2676561-29f6-4bb0-8686-3918644ca1e9	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
92bf918f-f09f-47c8-bbfb-5a0d7e249331	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
523782d4-2781-41aa-b9e7-11dcd342918e	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
79e9484d-470e-4e1c-8344-d5caf866e8d2	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
70717f52-39cc-4156-874c-372fecdb53e0	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
550e862b-b4f9-478d-8afb-7c9740d8201d	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
06172700-de80-4d92-a6a3-ffd1c2f9e0bb	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
f8d92497-375f-4294-abb2-24bada7df6fb	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
a07aa503-cc79-46e0-802f-3e745077e535	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
78d3ae44-08af-40c5-8b86-bed16078d7b7	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
e7fdee8e-3550-4141-a526-117939bbb806	16b0cba9-1e82-4991-ab65-a42e0e4fd3dc
